#,項目號碼,項目說明,製造商,上次採購價格,供應商最新報價
1,01-100420801,CPU INTEL Cascade Lake Xeon Silver-4208 2.1/3.2GHz 8Core FCLGA3647,INTEL,USD 360.0000,
2,01-104202661,*CPU INTEL PRIXP420BB 266MHZ PBGA PB_FREE,INTEL,NTD 283.1300,NTD 283.1300
3,01-112250310,*CPU INTEL Xeon E3-1225 3.1GHz 4Core Micro-LGA1155 PB_FREE,INTEL,USD 192.0000,USD 192.0000
4,01-112300310,CPU INTEL Xeon E3-1230V2 3.3GHz 4Core Micro-LGA1155 PB_FREE,INTEL,USD 205.0000,USD 205.0000
5,01-115080220,CPU INTEL Broadwell-DE D1508 2.2GHz 2 Core FCBGA1667 PB_FREE,INTEL,USD 99.0000,USD 99.0000
6,01-115190150,CPU INTEL Broadwell-DE Xeon D-1527 2.2GHz 4 Core BGA1667 PB_FREE,INTEL,USD 217.0000,USD 217.0000
7,01-115210240,CPU INTEL Broadwell-DE Xeon D-1521 2.4GHz 4 Core  FCBGA1667 PB_FREE,INTEL,USD 108.1800,USD 205.0000
8,01-115310220,CPU INTEL Broadwell-DE Xeon D-1531 2.2GHz 6 Core  FCBGA1667 PB_FREE,INTEL,USD 314.0000,USD 336.0000
9,01-115390160,CPU INTEL Broadwell-DE D-1539 1.6GHz 8 Core BGA1667 PB_FREE,INTEL,,
10,01-115410210,CPU INTEL Broadwell-DE Xeon D-1541 2.1GHz 8 Core  FCBGA1667 PB_FREE,INTEL,USD 524.0000,USD 561.0000
11,01-115670210,CPU INTEL Broadwell-DE Xeon D-1567 2.1GHz 12 Core FCBGA1667 PB_FREE,INTEL,"USD 1,144.0000","USD 1,144.0000"
12,01-118001333,*CPU INTEL Celeron J1800 1333MHz Dual Core FCBGA 1170-ball PB_FREE,INTEL,,USD 19.0000
13,01-121000310,*CPU INTEL SANDY BRIDGE I3_2100 CM8062301061600S 3.1GHz LGA1155 PB_FREE,INTEL,USD 110.0000,USD 110.0000
14,01-121200310,*CPU INTEL SANDY BRIDGE I3_2120 CM8062301044204.SR05Y 3.3GHz LGA1155 PB_FREE,INTEL,USD 110.0000,USD 110.0000
15,01-121430220,CPU INTEL Xeon D2143-IT 2.2GHz 8Core FCBGA2518 PB_FREE,INTEL,,
16,01-122140340,CPU INTEL Broadwell-DE D-1528 1.9GHz 6 Core BGA1667 PB_FREE,INTEL,USD 299.0000,USD 299.0000
17,01-123456789,*CPU INTEL PRIXP420BB 266MHZ PBGA PB_FREE,ACARD,,
18,01-125380240,CPU INTEL Avoton FH8065501516762S R1S9 (C2538) 2.4GHz 4Core FCBGA10/FCBGA11 PB_FREE,INTEL,USD 60.0000,USD 60.0000
19,01-125380241,CPU INTEL Avoton FH8065503553400S R3GZ(C2538) 2.4GHz 4Core FCBGA10/FCBGA11 PB_FREE,INTEL,USD 80.0000,USD 80.0000
20,01-125500180,*CPU INTEL Cedarview D2550 1.8GHz Dual Core Micro-FCBGA11 PB_FREE,INTEL,USD 20.0000,USD 20.0000
21,01-126200240,CPU INTEL Haswell E5-2620V3 2.4GHz 6Core LGA2011-3 PB_FREE,INTEL,USD 328.0000,USD 388.0000
22,01-127012130,*CPU INTEL Cedarview DF8064101365900 R0W5 (D2701) 2.13GHz Dual Core Micro-FCBGA11 PB_FREE,INTEL,USD 23.5000,USD 23.5000
